id,file_name,relative_path,folder,project_area,category,short_summary,what_this_file_controls,when_to_use_this_file,recommended_claude_instruction,importance,last_updated_from_git,related_code_files,related_docs
17,FINVIZ_LINK_BEHAVIOR_RULE.md,docs/FINVIZ_LINK_BEHAVIOR_RULE.md,docs,Market / Links,UI/UX,כל symbol/ticker/sector תקין — חייב להיות קישור Finviz,link behavior של market symbols,לפני שינוי rendering של market symbols,Read docs/FINVIZ_LINK_BEHAVIOR_RULE.md before modifying any market symbol display.,High,2026-06-29,src/utils/finvizLinks.js,"docs/SECTOR_FINVIZ_LINK_MAPPING.md, docs/WATCH_TODAY_FINVIZ_LINKS.md"
18,GEMS_OUTPUT_LANGUAGE_RULES.md,docs/GEMS_OUTPUT_LANGUAGE_RULES.md,docs,GEMS / AI,Prompt Rules,"כללי שפה לפלט GEM — JSON schemas, language mix rules",שפת ה-output של GEM prompts,לפני שינוי GEM prompts או schemas,Read docs/GEMS_OUTPUT_LANGUAGE_RULES.md before changing GEM output format or language.,High,2026-06-30,src/ai/gemini/gemContentRouter.js,docs/GEM_CONTENT_CLASSIFICATION_RULES.md
19,GEMS_TAB_MAPPING_REGRESSION_RULES.md,docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md,docs,GEMS / Universal Tabs,Architecture,"מקור אמת: mapping מ-GEM JSON לטאבים universal — regression rules",data layer mapping GEM→Tabs,לפני שינוי GEM JSON mapping או Universal Tabs,Read docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md before changing GEM-to-tab mapping.,High,2026-06-28,src/components/dashboard/VideoDetailPanel.jsx,docs/GEM_CONTENT_CLASSIFICATION_RULES.md
20,GEM_CHAPTER_TIMESTAMP_RELIABILITY.md,docs/GEM_CHAPTER_TIMESTAMP_RELIABILITY.md,docs,Chapters Engine / GEMS,Architecture,chapter quality vs timestamp reliability — שני ממדים שונים,metadata של chapters tab,לפני שינוי chapters quality indicators,Read docs/GEM_CHAPTER_TIMESTAMP_RELIABILITY.md before modifying chapter metadata display.,Medium,2026-06-22,src/components/dashboard/VideoDetailPanel.jsx,docs/CHAPTER_SOURCE_PRIORITY_RULE.md
21,GEM_CONTENT_CLASSIFICATION_RULES.md,docs/GEM_CONTENT_CLASSIFICATION_RULES.md,docs,GEMS / Content,Architecture,"כללי סיווג GEM recommendation: Macro / Technical / Fundamental",GEM content classification logic,לפני שינוי GEM classification,Read docs/GEM_CONTENT_CLASSIFICATION_RULES.md before changing GEM content classification.,High,2026-06-30,src/ai/gemini/gemContentRouter.js,"docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md, docs/GEMS_OUTPUT_LANGUAGE_RULES.md"
22,HEBREW_DOCUMENTATION_CATALOG.md,docs/HEBREW_DOCUMENTATION_CATALOG.md,docs,Documentation,Documentation,"קטלוג תיעוד עברי — 26 מסמכים, מה לקרוא ראשון",ניווט במסמכי הפרויקט,"כניסה לפרויקט, חיפוש מסמך",Read docs/HEBREW_DOCUMENTATION_CATALOG.md to navigate project documentation.,Medium,2026-06-22,,"docs/START_HERE.md, docs/PROJECT_DOCUMENTATION_INDEX.md"
23,HEBREW_FIRST_MARKET_STATUS_LABELS.md,docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md,docs,Market Status / UI,Bug Fix,"תיקון: labels בטבלת Market Status → עברית-ראשונה (2026-07-01)",labels של REGIME_OVERVIEW table,לפני שינוי בטבלת Market Status,Read docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md before changing market status table labels.,High,2026-07-01,"src/components/dashboard/MorningBriefMarketsTable.jsx, src/lib/morningBriefPresentation.js",docs/HEBREW_FIRST_UI_LABELS_RULE.md
24,HEBREW_FIRST_UI_LABELS_RULE.md,docs/HEBREW_FIRST_UI_LABELS_RULE.md,docs,UI / RTL,Governance,כלל ליבה: כל caption משתמש חייב להיות עברית-ראשונה,כל ה-UI labels בדשבורד,לפני כל שינוי label/caption ב-UI,Read docs/HEBREW_FIRST_UI_LABELS_RULE.md before adding or changing any UI label.,High,2026-06-30,"src/components/dashboard/, src/lib/morningBriefPresentation.js",docs/governance/DESIGN_SYSTEM_AND_UX_RULES.md
25,MACRO_INDICATOR_INVESTING_LINKS.md,docs/MACRO_INDICATOR_INVESTING_LINKS.md,docs,Morning Brief / Macro,UI/UX,קישורי il.investing.com לכל macro indicator בטבלת Morning Brief,links של macro indicators,לפני שינוי macro indicators table,Read docs/MACRO_INDICATOR_INVESTING_LINKS.md before changing macro indicator display.,Medium,2026-06-28,src/components/dashboard/MorningBriefMarketsTable.jsx,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md
26,MARKET_ENTITY_ANALYSIS_ROUTING.md,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md,docs,AI Analysis,Architecture,market entities → routing לPerplexity / TradingView / Finviz לפי entity type,routing logic של entities לכלי ניתוח חיצוניים,לפני שינוי 'נתח עם AI' כפתורים,Read docs/MARKET_ENTITY_ANALYSIS_ROUTING.md before modifying AI analysis routing.,High,2026-06-29,src/lib/gemRecommender.js,"docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md, docs/TRADINGVIEW_STOCK_SYMBOL_RESOLVER.md"
27,MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md,docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md,docs,Morning Brief,UI/UX,"מקור אמת ויזואלי: Morning Brief + Dedicated Content — עיצוב, layout, צבעים",visual design של morning brief + dedicated content,לפני שינוי ויזואלי ב-Morning Brief,Read docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md before any visual change in morning brief.,High,2026-06-25,"src/components/dashboard/SummaryBriefingView.jsx, src/lib/morningBriefVisuals.js",MARKET_DASHBOARD_UI_GUIDE.md
28,MORNING_BRIEF_GEMS_ROUTING.md,docs/MORNING_BRIEF_GEMS_ROUTING.md,docs,Morning Brief / GEMS,Architecture,כלל routing: סרטוני live brief → morning brief tab (לא macro),routing של live briefing videos ל-morning brief,לפני שינוי routing של live brief videos,Read docs/MORNING_BRIEF_GEMS_ROUTING.md before changing morning brief video routing.,High,2026-06-30,"src/lib/gemRecommender.js, src/components/dashboard/SpecializedContentRenderer.jsx",docs/GEM_CONTENT_CLASSIFICATION_RULES.md
29,MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md,docs,Morning Brief / QA,QA,"Audit specialized output: 53 פריטים → ~27 ייחודיים, בעיות dup",known issues ב-specialized tab output,לפני תיקון specialized tab,Read docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md before fixing specialized tab issues.,Medium,2026-06-30,src/components/dashboard/SpecializedContentRenderer.jsx,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md
30,MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md,docs,Morning Brief / QA,Bug Fix,תיקונים שיושמו ל-specialized output — 2026-06-30,record של fixes שבוצעו,לוודא מה כבר תוקן ב-specialized,Read docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md to check what has already been fixed.,Medium,2026-06-30,src/components/dashboard/SpecializedContentRenderer.jsx,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md
31,OBSIDIAN_PERSONAL_BRAIN_PHASE.md,docs/OBSIDIAN_PERSONAL_BRAIN_PHASE.md,docs,Obsidian / Brain,Architecture,"Phase checkpoint: Obsidian export + brainHighlights — מה עובד",Obsidian integration status,לפני שינוי ב-Obsidian export או Brain,Read docs/OBSIDIAN_PERSONAL_BRAIN_PHASE.md before modifying Obsidian export.,Medium,2026-06-22,src/components/dashboard/VideoDetailPanel.jsx,"AI_DEVELOPMENT_GUIDE.md, docs/governance/SAVE_SYSTEM_ARCHITECTURE.md"
32,OPPORTUNITIES_RISKS_DESIGN_RULE.md,docs/OPPORTUNITIES_RISKS_DESIGN_RULE.md,docs,Morning Brief / UI,UI/UX,כלל: Macro/Specialized הוא reference לכל sections של הזדמנויות/סיכונים,layout consistency בין opportunities/risks sections,לפני שינוי עיצוב של opportunity/risk cards,Read docs/OPPORTUNITIES_RISKS_DESIGN_RULE.md before changing opportunity or risk card layout.,Medium,2026-06-22,src/components/dashboard/MacroStyleInsightCards.jsx,"MARKET_DASHBOARD_UI_GUIDE.md, docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md"
33,PERPLEXITY_AI_ANALYSIS_WORKFLOW.md,docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md,docs,AI Analysis,Architecture,"Workflow לניתוח AI דרך Perplexity — entity-aware routing + prompt template",Perplexity workflow + prompt template,לפני שינוי Perplexity analysis flow,Read docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md before modifying Perplexity AI analysis.,Medium,2026-06-29,src/lib/gemRecommender.js,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md
34,PERPLEXITY_AI_RESEARCH_PATTERN.md,docs/PERPLEXITY_AI_RESEARCH_PATTERN.md,docs,AI Analysis / UX,UI/UX,Design pattern לכפתור Perplexity research — pre-implementation,UX design pattern לcards עם research button,לפני implement של Perplexity research button,Read docs/PERPLEXITY_AI_RESEARCH_PATTERN.md before implementing Perplexity research buttons.,Low,2026-06-23,src/components/dashboard/MacroStyleInsightCards.jsx,docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md
35,PROJECT_DOCUMENTATION_AUDIT.md,docs/PROJECT_DOCUMENTATION_AUDIT.md,docs,Documentation,Documentation,"Audit של כל קבצי MD (2026-06-22) — scope, hierarchy, gaps",תיעוד המסמכים הקיימים,כשמחפשים מסמך שאולי חסר,Read docs/PROJECT_DOCUMENTATION_AUDIT.md to understand the documentation landscape.,Low,2026-06-22,,docs/PROJECT_DOCUMENTATION_INDEX.md
36,PROJECT_DOCUMENTATION_INDEX.md,docs/PROJECT_DOCUMENTATION_INDEX.md,docs,Documentation,Documentation,"Registry מרכזי לכל המסמכים: hierarchy, מה גובר על מה",document hierarchy ו-conflict resolution,ניווט וresolution conflicts בין מסמכים,Read docs/PROJECT_DOCUMENTATION_INDEX.md to find the authoritative document.,High,2026-06-22,,"docs/START_HERE.md, docs/governance/MASTER_PROJECT_BIBLE.md"
37,PROJECT_MARKDOWN_FILE_INDEX.md,docs/PROJECT_MARKDOWN_FILE_INDEX.md,docs,Documentation,Documentation,"אינדקס MD ישן (2026-06-22, 25 קבצים) — גרסה קודמת של PROJECT_MD_INDEX",אינדקס ישן של MD files,השוואה היסטורית בלבד,Use docs/PROJECT_MD_INDEX.md instead — this is an older version.,Low,2026-06-22,,docs/PROJECT_MD_INDEX.md
38,SECTION_HEADER_COUNT_RULE.md,docs/SECTION_HEADER_COUNT_RULE.md,docs,Morning Brief / UI,Governance,כלל: Morning Brief חייב לעקוב אחרי ספירת section headers של מאקרו,section header rendering consistency,לפני שינוי rendering של section headers,Read docs/SECTION_HEADER_COUNT_RULE.md before changing section header count behavior.,Medium,2026-06-28,src/components/shared/UniversalTabSectionLabelRow.jsx,MARKET_DASHBOARD_UI_GUIDE.md
39,SECTORS_DESIGN_RULE.md,docs/SECTORS_DESIGN_RULE.md,docs,Sectors / UI,Governance,כלל enforced: כל sectors section בכל האפליקציה — פורמט אחיד,עיצוב כל sectors sections,לפני שינוי בסקטורים,Read docs/SECTORS_DESIGN_RULE.md before changing any sectors section.,Medium,2026-06-23,src/components/dashboard/MacroStyleInsightCards.jsx,docs/SECTOR_FINVIZ_LINK_MAPPING.md
40,SECTOR_FINVIZ_LINKS.md,docs/SECTOR_FINVIZ_LINKS.md,docs,Sectors / Links,Data Model,מקור אמת: sector → Finviz ETF link mapping,clickable sector links,לפני הוספת sector חדש,Read docs/SECTOR_FINVIZ_LINKS.md before adding sector links.,Medium,2026-06-23,src/utils/finvizLinks.js,docs/SECTOR_FINVIZ_LINK_MAPPING.md
41,SECTOR_FINVIZ_LINK_MAPPING.md,docs/SECTOR_FINVIZ_LINK_MAPPING.md,docs,Sectors / Links,Data Model,טבלת mapping סקטור/תמה → ETF Finviz — מבוסס על src/utils/finvizLinks.js,sector→ETF mapping table,לפני הוספת/תיקון sector links,Read docs/SECTOR_FINVIZ_LINK_MAPPING.md before adding or fixing sector links.,High,2026-06-30,src/utils/finvizLinks.js,"docs/SECTOR_FINVIZ_LINKS.md, docs/FINVIZ_LINK_BEHAVIOR_RULE.md"
42,SELECTION_TOOLBAR_WORKFLOW.md,docs/SELECTION_TOOLBAR_WORKFLOW.md,docs,Selection / UI,UI/UX,הכלה השחורה בתחתית — מקור אמת לפעולות bulk/selected items,selection toolbar behavior,לפני שינוי selection toolbar,Read docs/SELECTION_TOOLBAR_WORKFLOW.md before changing the selection toolbar behavior.,High,2026-06-30,"src/components/shared/UniversalTabSelectionBar.jsx, src/hooks/useTabBulkSelection.js",docs/UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md
43,SESSION_CLOSURE_NOTES_2026_07_01_HEBREW_MARKET_STATUS_LABELS.md,docs/SESSION_CLOSURE_NOTES_2026_07_01_HEBREW_MARKET_STATUS_LABELS.md,docs,Morning Brief / Labels,Commit,סיכום session 2026-07-01: תיקון Hebrew labels ב-Market Status table,session record,עיון בהיסטוריה של שינויים,Check this file for context on market status label changes made 2026-07-01.,Low,2026-07-01,src/lib/morningBriefPresentation.js,"docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md, docs/session-closures/2026-07-01-hebrew-market-status-labels.md"
44,SPECIALIZED_OPPORTUNITY_SAVE_RULE.md,docs/SPECIALIZED_OPPORTUNITY_SAVE_RULE.md,docs,Save System / Specialized,Governance,כלל: specialized opportunity cards ניתנות לשמירה,save behavior של specialized opportunity cards,לפני שינוי save flow בspecialized tab,Read docs/SPECIALIZED_OPPORTUNITY_SAVE_RULE.md before changing specialized tab save behavior.,Medium,2026-06-30,src/components/dashboard/SpecializedContentRenderer.jsx,docs/governance/SAVE_SYSTEM_ARCHITECTURE.md
45,SPECIALIZED_SELECT_ALL_DEDUP_RULE.md,docs/SPECIALIZED_SELECT_ALL_DEDUP_RULE.md,docs,Selection / Specialized,Bug Fix,"כלל: Select All בspecialized → 27 ייחודיים (לא 53 duplicates)",deduplication logic ב-specialized select all,לפני שינוי select-all בspecialized,Read docs/SPECIALIZED_SELECT_ALL_DEDUP_RULE.md before modifying specialized select-all.,High,2026-06-30,"src/hooks/useTabBulkSelection.js, src/components/dashboard/SpecializedContentRenderer.jsx",docs/UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md
46,START_HERE.md,docs/START_HERE.md,docs,Documentation / Entry,Documentation,נקודת כניסה: מה לקרוא ראשון בכל session,ניווט לפי topic,תחילת כל session חדש,Always read docs/START_HERE.md at the beginning of a session.,High,2026-06-28,,"docs/PROJECT_DOCUMENTATION_INDEX.md, AI_DEVELOPMENT_GUIDE.md"
47,SYMBOL_ARROW_PLACEMENT_RULE.md,docs/SYMBOL_ARROW_PLACEMENT_RULE.md,docs,UI / Market Tables,UI/UX,"חצים כיווניים ליד שם הסימול, לא בעמודת המספר",placement של directional arrows בטבלאות,לפני שינוי financial tables,Read docs/SYMBOL_ARROW_PLACEMENT_RULE.md before modifying financial table arrow placement.,Medium,2026-06-30,src/components/dashboard/MorningBriefMarketsTable.jsx,docs/HEBREW_FIRST_UI_LABELS_RULE.md
48,TRADINGVIEW_STOCK_SYMBOL_RESOLVER.md,docs/TRADINGVIEW_STOCK_SYMBOL_RESOLVER.md,docs,AI Analysis / Links,Architecture,TradingView symbol resolution — mapping stock symbols ל-TradingView URLs,TradingView link generation,לפני שינוי TradingView links,Read docs/TRADINGVIEW_STOCK_SYMBOL_RESOLVER.md before changing TradingView symbol routing.,Medium,2026-06-30,src/lib/sentimentSourceLinks.js,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md
49,UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md,docs/UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md,docs,Selection / Export,Governance,כלל: Select All + CSV export לכל 7 טאבים universal,select-all + export behavior,לפני שינוי selection/export,Read docs/UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md before changing selection or export.,High,2026-06-30,"src/hooks/useTabBulkSelection.js, src/components/shared/UniversalTabQuickSaveActions.jsx, src/lib/csvExport.js",docs/SELECTION_TOOLBAR_WORKFLOW.md
50,WATCH_TODAY_FINVIZ_LINKS.md,docs/WATCH_TODAY_FINVIZ_LINKS.md,docs,Morning Brief / Watch Today,Bug Fix,"תיקון: 'מה לעקוב היום' + tickers + Finviz links",watch-today items display with tickers,לפני שינוי ב-watch-today section,Read docs/WATCH_TODAY_FINVIZ_LINKS.md before changing the watch-today section.,Medium,2026-07-01,"src/components/dashboard/SpecializedContentRenderer.jsx, src/lib/morningBriefPresentation.js",docs/FINVIZ_LINK_BEHAVIOR_RULE.md
51,base44-checklist.md,docs/base44-checklist.md,docs,Base44 / Git,Base44,"צ'קליסט חיבור Base44 + GitHub — Git config, clean workflow",Base44-GitHub connection setup,בהגדרת חיבור חדש Base44-GitHub,Read docs/base44-checklist.md when setting up Base44-GitHub integration.,Medium,2026-06-11,".gitignore, .env.example","AGENTS.md, docs/DEPLOYMENT_TARGET_RULE.md"
52,workflow.md,docs/workflow.md,docs,Base44 Workflow,Workflow,Base44 + Claude Code workflow — תוכן זהה ל-AGENTS.md,workflow rules (overlaps with AGENTS.md),ראה AGENTS.md,See AGENTS.md — this file duplicates AGENTS.md content.,Low,2026-06-11,,AGENTS.md
53,CLAUDE_CODE_GOVERNANCE_MODE.md,docs/governance/CLAUDE_CODE_GOVERNANCE_MODE.md,docs/governance,Governance,Governance,"מדיניות פעילה: איך Claude Code מחליט על שינויים — adopted 2026-06-17",governance policy לכל שינוי ארכיטקטוראלי,לפני שינוי גדול,Read docs/governance/CLAUDE_CODE_GOVERNANCE_MODE.md before major architectural decisions.,High,2026-06-17,,docs/governance/MASTER_PROJECT_BIBLE.md
54,CURRENT_STATE_JUNE_2026.md,docs/governance/CURRENT_STATE_JUNE_2026.md,docs/governance,Project Health,QA,"מצב נוכחי: מה עובד, מה שבור, 4 release gates פתוחים",release gates ו-current state,"לפני publish, להבין מה שבור",Read docs/governance/CURRENT_STATE_JUNE_2026.md before publishing to understand open issues.,High,2026-06-17,,PROJECT_STATUS.md
55,DESIGN_SYSTEM_AND_UX_RULES.md,docs/governance/DESIGN_SYSTEM_AND_UX_RULES.md,docs/governance,Design System,UI/UX,"Design system source of truth — UX rules, visual language, RTL",כל החלטות עיצוב ו-UX,לפני כל שינוי ויזואלי,Read docs/governance/DESIGN_SYSTEM_AND_UX_RULES.md before any visual design change.,High,2026-06-11,src/components/,"MARKET_DASHBOARD_UI_GUIDE.md, docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md"
56,MASTER_PROJECT_BIBLE.md,docs/governance/MASTER_PROJECT_BIBLE.md,docs/governance,Governance,Governance,"Bible המסמכים: מה הפרויקט עושה, איזה מסמך גובר — first to read",document hierarchy ו-conflict resolution,כשיש conflict בין מסמכים,Read docs/governance/MASTER_PROJECT_BIBLE.md first when document sources conflict.,High,2026-06-11,,"docs/START_HERE.md, AI_DEVELOPMENT_GUIDE.md"
57,MILESTONE_MORNING_BRIEF_DASHBOARD_CLUSTER.md,docs/governance/MILESTONE_MORNING_BRIEF_DASHBOARD_CLUSTER.md,docs/governance,Morning Brief,Commit,"Milestone record: Morning Brief Dashboard Cluster Cleanup (2026-06-16, 5 commits)",historical record,היסטוריה של Morning Brief שינויים,Check docs/governance/MILESTONE_MORNING_BRIEF_DASHBOARD_CLUSTER.md for morning brief history.,Low,2026-06-16,src/components/dashboard/,docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md
58,NEXT_SESSION_QA.md,docs/governance/NEXT_SESSION_QA.md,docs/governance,QA,QA,"רשימת QA tasks לsession הבא — baseline: cleanup-baseline-2026-06-17",manual QA tasks,תחילת session לבדיקות QA,Read docs/governance/NEXT_SESSION_QA.md for the current QA task list.,Medium,2026-06-17,,docs/governance/CURRENT_STATE_JUNE_2026.md
